Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
93,0.8935305535793304,1.0676210641860961,0.5492554306983948,0.4574524164199829,958.91
94,0.8877049744129181,1.0614978671073914,0.5057704448699951,0.5071296095848083,969.3
95,0.8922311842441559,1.0607519924640656,0.5101615786552429,0.4315648078918457,979.73
96,0.8904532611370086,1.063017612695694,0.45263612270355225,0.5476946830749512,989.79
97,0.8897895336151123,1.0606823682785034,0.49786052107810974,0.4616728127002716,1000.31
98,0.8754777073860168,1.0576326251029968,0.5230762362480164,0.46430665254592896,1010.65
99,0.874335765838623,1.0585955917835235,0.5242699384689331,0.4551827311515808,1021.02
100,0.8718798816204071,1.0568575501441955,0.5135886073112488,0.5000118017196655,1030.93
101,0.8797746658325195,1.0574379920959474,0.5351687669754028,0.4645363390445709,1041.36
102,0.8856566667556762,1.0581314325332642,0.4924341142177582,0.5900588035583496,1051.59
103,0.8809821426868438,1.0597205221652986,0.4668751060962677,0.5360373854637146,1062.74
104,0.8813011109828949,1.0632195949554444,0.5272331833839417,0.5243614912033081,1073.57
105,0.8794297993183136,1.0614987432956695,0.5030648708343506,0.5455945730209351,1084.02
106,0.8823944509029389,1.0591772377490998,0.5366309285163879,0.5129589438438416,1094.56
107,0.8752777934074402,1.0586873948574067,0.5113131403923035,0.5319449305534363,1104.91
108,0.8719816029071807,1.0552177011966706,0.5307337641716003,0.5138323903083801,1115.11
109,0.8670464098453522,1.0553700089454652,0.4797002971172333,0.5629982352256775,1125.56
110,0.875770103931427,1.0563819646835326,0.594454824924469,0.5205304026603699,1135.55
111,0.8855592727661132,1.0548770248889923,0.4656989574432373,0.5847947597503662,1145.42
112,0.8972672700881958,1.0570148587226869,0.4551035463809967,0.5116544961929321,1156.24
113,0.8980825185775757,1.0580626249313354,0.5461926460266113,0.5720224380493164,1166.82
114,0.8849651873111725,1.0555180788040162,0.5228117108345032,0.5279111266136169,1176.96
115,0.8753213107585907,1.054939442873001,0.5573949217796326,0.5016012787818909,1187.32
116,0.8708540737628937,1.054388290643692,0.5451781749725342,0.5076155662536621,1197.72
117,0.8717303097248077,1.0575163125991822,0.5159478783607483,0.4532254636287689,1208.22
118,0.874912291765213,1.0556258499622344,0.5373740792274475,0.48611003160476685,1218.44
119,0.8804502367973328,1.0556955516338349,0.5807169079780579,0.42414167523384094,1228.52
120,0.8997770547866821,1.0562903523445129,0.5497797727584839,0.5177701711654663,1238.45
121,0.8901123821735382,1.056106847524643,0.49145686626434326,0.685992956161499,1248.62
122,0.8801166355609894,1.0556807100772858,0.5576443076133728,0.44728004932403564,1258.96
123,0.8868680000305176,1.0587528705596925,0.5015280842781067,0.5246725082397461,1269.4
124,0.8750778079032898,1.0558199346065522,0.516586184501648,0.47539064288139343,1279.58
125,0.8724046766757965,1.0567167818546295,0.5016078948974609,0.5445830821990967,1289.91
126,0.8700132489204406,1.0552539348602294,0.5380901098251343,0.5075522661209106,1300.24
127,0.8616520643234253,1.0571242928504945,0.5668898820877075,0.6178367137908936,1310.58
128,0.8693204462528229,1.064925843477249,0.46806225180625916,0.8244788646697998,1321.07
129,0.8713996231555938,1.0625455021858214,0.6311764717102051,0.43141692876815796,1331.55
130,0.8606786370277405,1.0640764772891997,0.5352773666381836,0.4836134910583496,1341.48
131,0.8546868801116944,1.0572535037994384,0.5295400619506836,0.5290824770927429,1351.81
132,0.8532270848751068,1.058835244178772,0.5541248321533203,0.6177794933319092,1361.91
133,0.8472570896148681,1.0558609545230866,0.5350446701049805,0.47666114568710327,1372.46
134,0.8445070385932922,1.0524362325668335,0.5283422470092773,0.6650872826576233,1382.65
135,0.8580635905265808,1.0533056616783143,0.5456897020339966,0.48973000049591064,1393.34
136,0.8501568734645844,1.0498993515968322,0.5341846346855164,0.614011287689209,1404.13
137,0.8600319802761078,1.0485290884971619,0.531106173992157,0.6865421533584595,1414.88
138,0.854229086637497,1.056651782989502,0.5584127902984619,0.49908387660980225,1425.66
139,0.852808666229248,1.0572773039340972,0.5827313661575317,0.5874014496803284,1436.33
140,0.8503368139266968,1.0568729877471923,0.539543092250824,0.5362527370452881,1447.17
141,0.837272334098816,1.0525142192840575,0.5490999817848206,0.487247496843338,1458.11
142,0.8504879176616669,1.0511342465877533,0.5289910435676575,0.5998439788818359,1468.69
143,0.8532220482826233,1.0590946197509765,0.5964164733886719,0.47447729110717773,1479.15
144,0.8881285011768341,1.062247669696808,0.49938052892684937,0.4907121956348419,1489.82
145,0.8980095446109772,1.0611674964427948,0.5201676487922668,0.4714389443397522,1500.65
146,0.9015779078006745,1.0614651620388031,0.500328004360199,0.5095167756080627,1511.62
147,0.8857659757137298,1.0592577934265137,0.5338179469108582,0.6525009870529175,1522.36
148,0.8581353783607483,1.0562391579151154,0.5251138210296631,0.6334331631660461,1533.15
149,0.8571675658226013,1.0529114127159118,0.48539233207702637,0.634038507938385,1543.9
150,0.8481967151165009,1.0527170538902282,0.5922281742095947,0.4976104199886322,1554.54
151,0.8391102969646453,1.053427940607071,0.5425257086753845,0.6021047830581665,1565.51
152,0.8320887446403503,1.0495453774929047,0.5854220986366272,0.5273402333259583,1576.86
153,0.8524014115333557,1.0493471562862395,0.4752974808216095,0.5883494019508362,1587.51
154,0.8430102348327637,1.0541886985301971,0.596709668636322,0.49957120418548584,1598.06
155,0.8456490516662598,1.0529097020626068,0.5031282901763916,0.593865692615509,1608.78
156,0.8388532817363739,1.0478306472301484,0.5386638045310974,0.6294226050376892,1619.56
157,0.8351853966712952,1.0499222874641418,0.5257769227027893,0.5204622149467468,1630.45
158,0.85246701836586,1.0545859515666962,0.5236291885375977,0.5469850897789001,1641.16
159,0.8674369096755982,1.0536005318164825,0.5087786316871643,0.7303944826126099,1651.95
160,0.8521102607250214,1.0521489441394807,0.582545280456543,0.46746212244033813,1662.54
161,0.8415210366249084,1.0514173746109008,0.5420843958854675,0.5213794112205505,1673.47
162,0.8363682806491852,1.0490536987781525,0.5441766381263733,0.7374392747879028,1683.87
163,0.8360865116119385,1.0495555222034454,0.5799499750137329,0.5457189679145813,1695.23
164,0.8326990902423859,1.0497602581977845,0.584543764591217,0.5908162593841553,1705.92
165,0.8234904110431671,1.0490482211112977,0.5725603699684143,0.5456236004829407,1716.37
166,0.8388780117034912,1.0493858695030212,0.6207605004310608,0.5078150033950806,1727.57
167,0.8550191402435303,1.050575315952301,0.5184169411659241,0.7450662851333618,1738.33
168,0.8305410206317901,1.0478307247161864,0.5802954435348511,0.5088194012641907,1748.96
169,0.8416219651699066,1.049958163499832,0.5379080772399902,0.6264106035232544,1759.98
170,0.8419406652450562,1.048498660326004,0.45812520384788513,0.5577260255813599,1771.25
171,0.8292288661003113,1.0491467416286469,0.6508186459541321,0.4989563524723053,1782.48
172,0.8291664183139801,1.0508321464061736,0.5156304836273193,0.5974641442298889,1793.22
173,0.8134957849979401,1.0470492601394654,0.5712838768959045,0.5884329676628113,1804.18
174,0.8000261008739471,1.0462125062942504,0.5297612547874451,0.7200799584388733,1815.63
175,0.8023149073123932,1.0472159564495087,0.6301022171974182,0.517927885055542,1826.38
176,0.8031639993190766,1.0462194085121155,0.558623194694519,0.5764407515525818,1836.81
177,0.8183862388134002,1.0466961085796356,0.5774033069610596,0.7367608547210693,1847.24
178,0.8288622736930847,1.0630924642086028,0.706839382648468,0.5010862350463867,1858.06
179,0.9537127077579498,1.066010946035385,0.4680619537830353,0.47287648916244507,1868.37
180,0.9282490015029907,1.0692183256149292,0.5551135540008545,0.54559725522995,1878.95
181,0.8869365215301513,1.0598133265972138,0.5447723269462585,0.5169131755828857,1889.29
182,0.8759566605091095,1.056033182144165,0.5017799139022827,0.6692408919334412,1900.07
183,0.8538229465484619,1.0537255525588989,0.5127300024032593,0.48893481492996216,1910.54
184,0.8341190695762635,1.0476020455360413,0.5285793542861938,0.6535135507583618,1920.98
185,0.8220056116580963,1.0462606132030488,0.5165145397186279,0.6169083118438721,1931.38
186,0.8106968224048614,1.0487771153450012,0.49870818853378296,0.6862415075302124,1941.46
187,0.8117306590080261,1.0457734763622284,0.5404077768325806,0.5533596277236938,1952.21
188,0.8010103106498718,1.0463251233100892,0.5389583110809326,0.7085301280021667,1962.96
189,0.7905304849147796,1.043659543991089,0.47993505001068115,0.7771250605583191,1973.45
190,0.7836135029792786,1.0428557395935059,0.5632705688476562,0.6503391861915588,1983.92
191,0.7822924613952636,1.0433603048324585,0.4984597861766815,0.7754608392715454,1994.19
192,0.78534836769104,1.043435275554657,0.5724682211875916,0.5813336372375488,2004.56
193,0.7822777509689331,1.0436627924442292,0.6188039183616638,0.6482066512107849,2014.97
194,0.8277949929237366,1.049299168586731,0.5036344528198242,0.5460411906242371,2025.26
195,0.8282559752464295,1.0484357297420501,0.4685380458831787,0.7807166576385498,2035.57
196,0.7778615772724151,1.0482629537582397,0.44783815741539,0.6857077479362488,2045.92
197,0.7690106391906738,1.047299361228943,0.6725069284439087,0.5747878551483154,2056.27
198,0.7642037689685821,1.0483659505844116,0.5318372249603271,0.6443206071853638,2066.63
199,0.8194799482822418,1.0495377123355865,0.4751373529434204,0.5276796817779541,2076.91
200,0.8541291773319244,1.049441832304001,0.5264492034912109,0.6334081888198853,2087.15
Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,1.07173011302948,1.2502246499061584,0.47852787375450134,0.2783653438091278,9.23
2,1.0673502504825592,1.2372817993164062,0.4685714840888977,0.26324889063835144,19.51
3,1.0667451798915863,1.2291374564170838,0.45837312936782837,0.25440627336502075,31.46
4,1.064410352706909,1.2259827136993409,0.4652547240257263,0.25005802512168884,41.38
5,1.063583779335022,1.2221417546272277,0.4613565504550934,0.24777628481388092,51.17
6,1.0624734461307526,1.2203024625778198,0.4590626657009125,0.247028186917305,61.68
7,1.0620907485485076,1.2188539266586305,0.4552108347415924,0.24764299392700195,72.14
8,1.060929101705551,1.2166633367538453,0.4552133083343506,0.24873298406600952,82.1
9,1.061516934633255,1.214316487312317,0.4621886909008026,0.25033098459243774,91.64
10,1.0595214307308196,1.212398076057434,0.45717328786849976,0.2537152171134949,101.8
11,1.0599201560020446,1.2106853008270264,0.4556269943714142,0.2566078305244446,111.7
12,1.0595428586006164,1.2096835374832153,0.4480977952480316,0.26326805353164673,121.66
13,1.0577077567577362,1.2063958406448365,0.4566332995891571,0.2666461169719696,131.65
14,1.0571330547332765,1.2050194263458252,0.45515844225883484,0.27138426899909973,141.15
15,1.0561476826667786,1.2022683501243592,0.4524270296096802,0.2787308990955353,150.77
16,1.0554588735103607,1.2007031440734863,0.4613582193851471,0.2820383608341217,160.32
17,1.0539948999881745,1.196627962589264,0.45739439129829407,0.29191938042640686,170.29
