Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
150,234220,152680,26652,45943,0.6053760661669683,0.8360133208168102,0.7022425168237483,0.6139569640159607,0.3769420936703682,0.7028475403785706,0.5279873609542847,5374.22
151,226337,149921,29411,53826,0.6015473425149764,0.8078761292533275,0.6896092599109414,0.6116506725549697,0.37594967186450956,0.7096473574638367,0.5326918363571167,5410.79
152,204977,143494,35838,75186,0.5882182448467734,0.7316347983138387,0.6521346284165348,0.6166553229093552,0.38785596936941147,0.73656165599823,0.5448554158210754,5447.69
153,228846,153577,25755,51317,0.5984106604466781,0.816831630158158,0.690766179786473,0.6167662858963012,0.39097709357738497,0.7011768221855164,0.5215655565261841,5484.38
154,219606,144890,34442,60557,0.6024922084192967,0.7838508296955701,0.6813090331477571,0.6136765807867051,0.38450355380773543,0.7291120290756226,0.5276656150817871,5521.68
155,228664,149388,29944,51499,0.6048480103266217,0.8161820083308645,0.6948003311987724,0.6097062975168228,0.3781229227781296,0.7099109292030334,0.5366278290748596,5558.5
156,226243,147811,31521,53920,0.6048404775781037,0.8075406102875826,0.6916451269227183,0.6099702775478363,0.378230182826519,0.7113407254219055,0.5268617868423462,5595.74
157,209441,134876,44456,70722,0.6082795795734744,0.747568379836024,0.6707692800409941,0.6097437083721161,0.38139567226171495,0.7280240654945374,0.5388823747634888,5632.47
158,228899,153349,25983,51264,0.5988232770348046,0.8170208057452268,0.6911086923375366,0.6170451492071152,0.38134016543626786,0.7166216969490051,0.5546017289161682,5669.58
159,220812,148646,30686,59351,0.5976646871904249,0.7881554666390637,0.6798179246052698,0.6118844628334046,0.3784126594662666,0.7113951444625854,0.5373335480690002,5706.06
160,203540,139718,39614,76623,0.5929650583526094,0.7265056413587804,0.652977682817871,0.6083458542823792,0.3767983764410019,0.7440107464790344,0.5449424386024475,5743.04
161,226107,146779,32553,54056,0.6063703115697558,0.8070551785924622,0.6924656495913782,0.6079895675182343,0.37580161541700363,0.7107513546943665,0.5368607640266418,5779.77
162,189228,128860,50472,90935,0.5948919795779785,0.6754210941487634,0.6326040407788704,0.615474745631218,0.3767485976219177,0.7575053572654724,0.5518239736557007,5816.76
163,228673,147476,31856,51490,0.6079319631316313,0.8162141324871592,0.6968423554650837,0.6116565376520157,0.3758013635873795,0.7159846425056458,0.5387628078460693,5853.34
164,210485,145256,34076,69678,0.5916804641579126,0.7512947819662126,0.6620024406199678,0.6088093996047974,0.37566476613283156,0.7319722771644592,0.5513536930084229,5891.03
165,236438,153992,25340,43725,0.6055835873267935,0.8439301406681111,0.7051609545581299,0.6061051666736603,0.37329247146844863,0.7086325883865356,0.5526944994926453,5931.44
166,187632,133252,46080,92531,0.5847346704728188,0.6697244104324982,0.6243505083629067,0.6053252577781677,0.37529794573783876,0.7574935555458069,0.5415531396865845,5968.34
167,226608,148677,30655,53555,0.6038290898916823,0.8088434232928688,0.6914598869780669,0.6086170762777329,0.3747352063655853,0.6941769123077393,0.5442994832992554,6004.61
168,219714,141923,37409,60449,0.6075539836908281,0.7842363195711068,0.6846805858522904,0.6145893186330795,0.37277491092681886,0.7217103242874146,0.5339325666427612,6041.18
169,201260,135216,44116,78903,0.5981407292050548,0.7183675217641159,0.6527644213226864,0.6071639597415924,0.37492975890636443,0.7421728372573853,0.5569698810577393,6077.58
170,219664,145216,34116,60499,0.6020171015128262,0.7840578520361361,0.6810832766187681,0.6033228367567063,0.37285584062337873,0.7140977382659912,0.5385064482688904,6113.96
